時間,小時,平均車速,交通量,週次,週次標註
3/7,20,85.7463561,6998,3,0
3/7,21,85.82439383,6805,3,0
3/7,22,86.28431639,7358,3,0
3/7,23,86.71163382,7865,3,0
3/8,0,85.26784391,8098,4,0
3/8,1,85.6360988,7895,4,0
3/8,2,85.42521877,7542,4,0
3/8,3,85.62281065,7251,4,0
3/8,4,85.28682587,7454,4,0
3/8,5,85.56348113,7262,4,0
3/8,6,85.39173276,8322,4,0
3/8,7,84.63270841,8481,4,0
3/8,8,84.39246172,8490,4,0
3/8,9,83.75577846,9172,4,0
3/8,10,84.02612671,9186,4,0
3/8,11,84.34651983,9353,4,0
3/8,12,84.47021602,9166,4,0
3/8,13,84.15381292,9258,4,0
3/8,14,83.606025,9361,4,0
3/8,15,83.70769391,9579,4,0
3/8,16,84.38371965,9103,4,0
3/8,17,84.75249169,8428,4,0
3/8,18,85.29359736,7575,4,0
3/8,19,85.30248218,7574,4,0
3/8,20,85.74127424,7220,4,0
3/8,21,85.87516014,7025,4,0
3/8,22,86.29154019,7577,4,0
3/8,23,86.70700322,8082,4,0
3/9,0,85.42188642,8206,5,1
3/9,1,85.72886225,8007,5,1
3/9,2,85.57036554,7660,5,1
3/9,3,85.79397803,7373,5,1
3/9,4,85.42513228,7560,5,1
3/9,5,85.72793819,7377,5,1
3/9,6,85.54777448,8425,5,1
3/9,7,84.79226997,8564,5,1
3/9,8,84.51513035,8592,5,1
3/9,9,83.90976634,9287,5,1
3/9,10,84.15490995,9328,5,1
3/9,11,84.50802195,9474,5,1
3/9,12,84.59070319,9272,5,1
3/9,13,84.25309432,9372,5,1
3/9,14,83.78765458,9461,5,1
3/9,15,83.80193834,9699,5,1
3/9,16,84.5094442,9212,5,1
3/9,17,84.92046386,8537,5,1
3/9,18,85.41960224,7693,5,1
3/9,19,85.43486739,7692,5,1
3/9,20,85.91096545,7323,5,1
3/9,21,86.0102198,7143,5,1
3/9,22,86.43588074,7681,5,1
3/9,23,86.82062561,8184,5,1
3/10,0,85.21607251,8275,6,1
3/10,1,85.52563625,8055,6,1
3/10,2,85.41981561,7701,6,1
3/10,3,85.57965736,7413,6,1
3/10,4,85.24667807,7601,6,1
3/10,5,85.53468948,7423,6,1
3/10,6,85.37967662,8473,6,1
3/10,7,84.60773609,8609,6,1
3/10,8,84.38103508,8637,6,1
3/10,9,83.7733319,9322,6,1
3/10,10,84.00885239,9376,6,1
3/10,11,84.30014657,9552,6,1
3/10,12,84.47003866,9312,6,1
3/10,13,84.081823,9435,6,1
3/10,14,83.60119484,9541,6,1
3/10,15,83.66369688,9765,6,1
3/10,16,84.36293103,9280,6,1
3/10,17,84.73448757,8606,6,1
3/10,18,85.22615206,7747,6,1
3/10,19,85.25571779,7739,6,1
3/10,20,85.67756757,7400,6,1
3/10,21,85.77549319,7198,6,1
3/10,22,86.21810912,7753,6,1
3/10,23,86.62901856,8243,6,1
3/11,0,85.29194392,8416,0,0
3/11,1,85.62984638,8202,0,0
3/11,2,85.41436745,7865,0,0
3/11,3,85.64981521,7576,0,0
3/11,4,85.3100116,7761,0,0
3/11,5,85.58254998,7553,0,0
3/11,6,85.41780663,8626,0,0
3/11,7,84.6965407,8759,0,0
3/11,8,84.42542065,8796,0,0
3/11,9,83.82898489,9467,0,0
3/11,10,84.07816116,9506,0,0
3/11,11,84.41240422,9658,0,0
3/11,12,84.51763464,9470,0,0
3/11,13,84.19312585,9543,0,0
3/11,14,83.69447319,9662,0,0
3/11,15,83.73307739,9898,0,0
3/11,16,84.42638461,9407,0,0
3/11,17,84.78447489,8760,0,0
3/11,18,85.29485396,7909,0,0
3/11,19,85.31998479,7891,0,0
3/11,20,85.77385534,7535,0,0
3/11,21,85.86282523,7341,0,0
3/11,22,86.27711607,7892,0,0
3/11,23,86.66822039,8367,0,0
3/12,0,85.00585354,8371,1,0
3/12,1,85.28919349,8171,1,0
3/12,2,85.15648514,7841,1,0
3/12,3,85.38571808,7534,1,0
3/12,4,85.01449838,7725,1,0
3/12,5,85.28721007,7545,1,0
3/12,6,85.1495175,8601,1,0
3/12,7,84.4265966,8753,1,0
3/12,8,84.19440639,8760,1,0
3/12,9,83.59813183,9421,1,0
3/12,10,83.84653518,9481,1,0
3/12,11,84.23380399,9632,1,0
3/12,12,84.2932514,9439,1,0
3/12,13,83.96437204,9515,1,0
3/12,14,83.46226513,9633,1,0
3/12,15,83.55607335,9871,1,0
3/12,16,84.21995948,9379,1,0
3/12,17,84.5484167,8716,1,0
3/12,18,85.02786614,7859,1,0
3/12,19,85.05185562,7868,1,0
3/12,20,85.45241269,7502,1,0
3/12,21,85.54756698,7316,1,0
3/12,22,86.00674214,7861,1,0
3/12,23,86.3838142,8353,1,0
3/13,0,85.0809291,8180,2,0
3/13,1,85.41322106,7957,2,0
3/13,2,85.18690242,7635,2,0
3/13,3,85.47258307,7313,2,0
3/13,4,85.09217877,7518,2,0
3/13,5,85.36364876,7334,2,0
3/13,6,85.22794468,8388,2,0
3/13,7,84.45852804,8560,2,0
3/13,8,84.22878487,8567,2,0
3/13,9,83.60598854,9251,2,0
3/13,10,83.86055777,9287,2,0
3/13,11,84.21625913,9447,2,0
3/13,12,84.32594355,9247,2,0
3/13,13,83.95647524,9351,2,0
3/13,14,83.4698285,9446,2,0
3/13,15,83.53053632,9677,2,0
3/13,16,84.20650636,9191,2,0
3/13,17,84.56226592,8544,2,0
3/13,18,85.10121299,7667,2,0
3/13,19,85.1045419,7662,2,0
3/13,20,85.52730259,7307,2,0
3/13,21,85.6307649,7112,2,0
3/13,22,86.07527723,7665,2,0
3/13,23,86.49183949,8149,2,0
3/14,0,85.08251714,8168,3,0
3/14,1,85.45692037,7962,3,0
3/14,2,85.24826321,7629,3,0
3/14,3,85.45836173,7337,3,0
3/14,4,85.10677673,7511,3,0
3/14,5,85.39312977,7336,3,0
3/14,6,85.22586391,8421,3,0
3/14,7,84.50374795,8538,3,0
3/14,8,84.25017536,8554,3,0
3/14,9,83.64553127,9242,3,0
3/14,10,83.89037549,9268,3,0
3/14,11,84.22936752,9439,3,0
3/14,12,84.35918013,9221,3,0
3/14,13,83.98594873,9323,3,0
3/14,14,83.51551414,9443,3,0
3/14,15,83.5481405,9680,3,0
3/14,16,84.29528374,9181,3,0
3/14,17,84.60051607,8526,3,0
3/14,18,85.10434329,7667,3,0
3/14,19,85.12775963,7655,3,0
3/14,20,85.54966434,7299,3,0
3/14,21,85.66098351,7097,3,0
3/14,22,86.09246441,7657,3,0
3/14,23,86.53538084,8140,3,0
3/15,0,85.5637931,8120,4,0
3/15,1,85.92691577,7895,4,0
3/15,2,85.76959557,7591,4,0
3/15,3,85.95965971,7288,4,0
3/15,4,85.60382916,7469,4,0
3/15,5,85.89615912,7290,4,0
3/15,6,85.68847948,8359,4,0
3/15,7,84.95329087,8478,4,0
3/15,8,84.68544601,8520,4,0
3/15,9,84.01293057,9203,4,0
3/15,10,84.26531274,9257,4,0
3/15,11,84.61043793,9408,4,0
3/15,12,84.743208,9202,4,0
3/15,13,84.39198194,9304,4,0
3/15,14,83.86216821,9381,4,0
3/15,15,83.90899658,9637,4,0
3/15,16,84.63293912,9132,4,0
3/15,17,85.05564725,8482,4,0
3/15,18,85.59221769,7607,4,0
3/15,19,85.62782152,7620,4,0
3/15,20,86.12505182,7237,4,0
3/15,21,86.19983005,7061,4,0
3/15,22,86.61082644,7611,4,0
3/15,23,87.00616751,8107,4,0
3/16,0,85.14468339,8370,5,1
3/16,1,85.3984519,8139,5,1
3/16,2,85.29133052,7809,5,1
3/16,3,85.49241618,7516,5,1
3/16,4,85.12962722,7699,5,1
3/16,5,85.41983207,7503,5,1
3/16,6,85.27681176,8569,5,1
3/16,7,84.53015363,8722,5,1
3/16,8,84.29039276,8733,5,1
3/16,9,83.67137697,9412,5,1
3/16,10,83.94212253,9451,5,1
3/16,11,84.27009579,9604,5,1
3/16,12,84.39732143,9408,5,1
3/16,13,84.01353336,9532,5,1
3/16,14,83.5342964,9622,5,1
3/16,15,83.57202399,9837,5,1
3/16,16,84.26165831,9371,5,1
3/16,17,84.63669852,8687,5,1
3/16,18,85.14032402,7839,5,1
3/16,19,85.15045942,7836,5,1
3/16,20,85.55625334,7484,5,1
3/16,21,85.65413121,7286,5,1
3/16,22,86.11393213,7838,5,1
3/16,23,86.52005283,8328,5,1
3/17,0,85.32781337,8273,6,1
3/17,1,85.68708158,8066,6,1
3/17,2,85.50103252,7748,6,1
3/17,3,85.7358211,7423,6,1
3/17,4,85.39565789,7600,6,1
3/17,5,85.67504706,7438,6,1
3/17,6,85.48687463,8495,6,1
3/17,7,84.73725081,8628,6,1
3/17,8,84.47862754,8656,6,1
3/17,9,83.88184346,9352,6,1
3/17,10,84.1017383,9377,6,1
3/17,11,84.46345811,9537,6,1
3/17,12,84.5773229,9331,6,1
3/17,13,84.20682348,9438,6,1
3/17,14,83.70706647,9538,6,1
3/17,15,83.76300696,9764,6,1
3/17,16,84.45281189,9282,6,1
3/17,17,84.84120172,8621,6,1
3/17,18,85.37508061,7753,6,1
3/17,19,85.37683776,7754,6,1
3/17,20,85.82718053,7395,6,1
3/17,21,85.93591344,7209,6,1
3/17,22,86.34032964,7766,6,1
3/17,23,86.71499636,8242,6,1
3/18,0,85.01709402,8307,0,0
3/18,1,85.37167594,8085,0,0
3/18,2,85.13940018,7769,0,0
3/18,3,85.3904468,7453,0,0
3/18,4,85.01399059,7648,0,0
3/18,5,85.30906409,7458,0,0
3/18,6,85.16214311,8511,0,0
3/18,7,84.41184621,8661,0,0
3/18,8,84.19824804,8676,0,0
3/18,9,83.5941302,9370,0,0
3/18,10,83.80935673,9405,0,0
3/18,11,84.16556846,9561,0,0
3/18,12,84.30326644,9368,0,0
3/18,13,83.97309275,9477,0,0
3/18,14,83.45683152,9544,0,0
3/18,15,83.53902738,9788,0,0
3/18,16,84.19053763,9300,0,0
3/18,17,84.51938433,8641,0,0
3/18,18,85.02066487,7791,0,0
3/18,19,85.03481053,7785,0,0
3/18,20,85.45113086,7428,0,0
3/18,21,85.54773105,7228,0,0
3/18,22,86.01029204,7773,0,0
3/18,23,86.40024155,8280,0,0
3/19,0,85.07917426,8235,1,0
3/19,1,85.38210369,8024,1,0
3/19,2,85.19237255,7709,1,0
3/19,3,85.42052667,7405,1,0
3/19,4,85.08435482,7587,1,0
3/19,5,85.34968248,7401,1,0
3/19,6,85.21280358,8482,1,0
3/19,7,84.48553839,8609,1,0
3/19,8,84.21646977,8634,1,0
3/19,9,83.64857297,9285,1,0
3/19,10,83.925,9320,1,0
3/19,11,84.22880286,9506,1,0
3/19,12,84.31447015,9295,1,0
3/19,13,83.99500372,9407,1,0
3/19,14,83.52228897,9489,1,0
3/19,15,83.52795478,9730,1,0
3/19,16,84.23178236,9263,1,0
3/19,17,84.57671711,8590,1,0
3/19,18,85.08582524,7725,1,0
3/19,19,85.08857809,7722,1,0
3/19,20,85.49111141,7369,1,0
3/19,21,85.61507327,7165,1,0
3/19,22,86.06599379,7728,1,0
3/19,23,86.49258268,8224,1,0
3/20,0,85.02578135,8223,2,0
3/20,1,85.3322931,8011,2,0
3/20,2,85.17719047,7681,2,0
3/20,3,85.37794636,7382,2,0
3/20,4,85.0550119,7562,2,0
3/20,5,85.29309179,7397,2,0
3/20,6,85.16172475,8465,2,0
3/20,7,84.42820543,8587,2,0
3/20,8,84.18803021,8605,2,0
3/20,9,83.62143242,9285,2,0
3/20,10,83.87100579,9326,2,0
3/20,11,84.18888187,9498,2,0
3/20,12,84.32135147,9264,2,0
3/20,13,83.93369519,9396,2,0
3/20,14,83.42625369,9492,2,0
3/20,15,83.51566513,9735,2,0
3/20,16,84.20819335,9227,2,0
3/20,17,84.54683308,8573,2,0
3/20,18,85.06544605,7701,2,0
3/20,19,85.04693983,7712,2,0
3/20,20,85.48747959,7348,2,0
3/20,21,85.57318436,7160,2,0
3/20,22,86.0398546,7703,2,0
3/20,23,86.44556869,8203,2,0
3/21,0,85.23747681,8085,3,0
3/21,1,85.60851875,7865,3,0
3/21,2,85.39092958,7541,3,0
3/21,3,85.61778514,7242,3,0
3/21,4,85.26096314,7434,3,0
3/21,5,85.56554668,7262,3,0
3/21,6,85.36646635,8320,3,0
3/21,7,84.62661147,8455,3,0
3/21,8,84.37702017,8477,3,0
3/21,9,83.75259081,9167,3,0
3/21,10,84.01642197,9195,3,0
3/21,11,84.35861553,9361,3,0
3/21,12,84.46900917,9164,3,0
3/21,13,84.08067826,9259,3,0
3/21,14,83.60354587,9363,3,0
3/21,15,83.65613267,9588,3,0
3/21,16,84.36396574,9108,3,0
3/21,17,84.76006652,8419,3,0
3/21,18,85.25850699,7582,3,0
3/21,19,85.28701625,7571,3,0
3/21,20,85.73008175,7217,3,0
3/21,21,85.83430771,7013,3,0
3/21,22,86.27135479,7551,3,0
3/21,23,86.69120934,8054,3,0
3/22,0,85.21094793,8239,4,0
3/22,1,85.54674468,8033,4,0
3/22,2,85.39066563,7692,4,0
3/22,3,85.58819557,7404,4,0
3/22,4,85.22819058,7577,4,0
3/22,5,85.50189036,7406,4,0
3/22,6,85.31965468,8456,4,0
3/22,7,84.57957189,8596,4,0
3/22,8,84.35035395,8617,4,0
3/22,9,83.75115554,9303,4,0
3/22,10,84.01752511,9358,4,0
3/22,11,84.32248924,9529,4,0
3/22,12,84.46801637,9286,4,0
3/22,13,84.06178344,9420,4,0
3/22,14,83.61939279,9519,4,0
3/22,15,83.6495788,9734,4,0
3/22,16,84.32864256,9238,4,0
3/22,17,84.70193203,8592,4,0
3/22,18,85.22660099,7714,4,0
3/22,19,85.20960415,7705,4,0
3/22,20,85.67594352,7366,4,0
3/22,21,85.76313583,7156,4,0
3/22,22,86.24510693,7715,4,0
3/22,23,86.62233329,8203,4,0
3/23,0,85.1839449,8421,5,1
3/23,1,85.53001464,8196,5,1
3/23,2,85.32816669,7871,5,1
3/23,3,85.59242644,7579,5,1
3/23,4,85.19077082,7758,5,1
3/23,5,85.48205805,7580,5,1
3/23,6,85.31059204,8648,5,1
3/23,7,84.56638579,8782,5,1
3/23,8,84.34890079,8779,5,1
3/23,9,83.73050543,9477,5,1
3/23,10,84.00483447,9515,5,1
3/23,11,84.33288549,9676,5,1
3/23,12,84.46475445,9448,5,1
3/23,13,84.0861239,9556,5,1
3/23,14,83.59745631,9671,5,1
3/23,15,83.66039263,9882,5,1
3/23,16,84.32975786,9416,5,1
3/23,17,84.69052246,8747,5,1
3/23,18,85.21284683,7893,5,1
3/23,19,85.19367889,7910,5,1
3/23,20,85.62845377,7528,5,1
3/23,21,85.73218908,7341,5,1
3/23,22,86.16275232,7877,5,1
3/23,23,86.56934829,8378,5,1
3/24,0,85.02746326,8302,6,1
3/24,1,85.37472174,8086,6,1
3/24,2,85.18296938,7739,6,1
3/24,3,85.4138255,7450,6,1
3/24,4,85.06533124,7638,6,1
3/24,5,85.34776199,7462,6,1
3/24,6,85.21946923,8516,6,1
3/24,7,84.46208969,8652,6,1
3/24,8,84.21073856,8679,6,1
3/24,9,83.64570208,9365,6,1
3/24,10,83.91811309,9391,6,1
3/24,11,84.19937271,9565,6,1
3/24,12,84.32600342,9368,6,1
3/24,13,84.02805717,9445,6,1
3/24,14,83.49236402,9560,6,1
3/24,15,83.66537323,9793,6,1
3/24,16,84.20083817,9306,6,1
3/24,17,84.54337266,8646,6,1
3/24,18,85.05474171,7782,6,1
3/24,19,85.08488746,7775,6,1
3/24,20,85.50775455,7415,6,1
3/24,21,85.59975097,7228,6,1
3/24,22,86.03137053,7778,6,1
3/24,23,86.45612763,8274,6,1
3/25,0,86.12254089,8438,0,0
3/25,1,86.46908782,8233,0,0
3/25,2,86.32730034,7901,0,0
3/25,3,86.51569271,7615,0,0
3/25,4,86.2120745,7785,0,0
3/25,5,86.52342722,7598,0,0
3/25,6,86.21990314,8672,0,0
3/25,7,85.50221767,8793,0,0
3/25,8,85.23583409,8824,0,0
3/25,9,84.62333018,9507,0,0
3/25,10,84.85169269,9541,0,0
3/25,11,85.06127703,9710,0,0
3/25,12,85.28197275,9469,0,0
3/25,13,84.91270338,9588,0,0
3/25,14,84.23308581,9696,0,0
3/25,15,84.45944042,9936,0,0
3/25,16,85.21060991,9444,0,0
3/25,17,85.35526466,8785,0,0
3/25,18,86.20020159,7937,0,0
3/25,19,86.07157284,7922,0,0
3/25,20,86.67107176,7567,0,0
3/25,21,86.80566857,7374,0,0
3/25,22,87.15996459,7908,0,0
3/25,23,87.48493868,8399,0,0
3/26,0,84.91819263,8410,1,0
3/26,1,85.25942648,8195,1,0
3/26,2,85.04336767,7863,1,0
3/26,3,85.26291391,7550,1,0
3/26,4,84.9471377,7756,1,0
3/26,5,85.1996569,7578,1,0
3/26,6,85.0949235,8628,1,0
3/26,7,84.35713471,8767,1,0
3/26,8,84.16757804,8778,1,0
3/26,9,83.54901131,9457,1,0
3/26,10,83.80697136,9496,1,0
3/26,11,84.13161437,9657,1,0
3/26,12,84.23293894,9466,1,0
3/26,13,83.89526002,9557,1,0
3/26,14,83.43170757,9657,1,0
3/26,15,83.48387097,9889,1,0
3/26,16,84.11695906,9405,1,0
3/26,17,84.46652194,8752,1,0
3/26,18,84.93434535,7905,1,0
3/26,19,84.95117311,7885,1,0
3/26,20,85.36576289,7524,1,0
3/26,21,85.45993459,7338,1,0
3/26,22,85.90988593,7890,1,0
3/26,23,86.29898386,8365,1,0
3/27,0,84.81099782,8238,2,0
3/27,1,85.13631841,8040,2,0
3/27,2,84.92371562,7708,2,0
3/27,3,85.16257089,7406,2,0
3/27,4,84.82774049,7599,2,0
3/27,5,85.08165744,7409,2,0
3/27,6,84.97017565,8483,2,0
3/27,7,84.23435868,8615,2,0
3/27,8,84,8641,2,0
3/27,9,83.45363597,9296,2,0
3/27,10,83.65875307,9351,2,0
3/27,11,84.04027763,9509,2,0
3/27,12,84.11179124,9312,2,0
3/27,13,83.7605948,9415,2,0
3/27,14,83.29924322,9514,2,0
3/27,15,83.2954848,9767,2,0
3/27,16,84.02981527,9257,2,0
3/27,17,84.37558194,8592,2,0
3/27,18,84.80465116,7740,2,0
3/27,19,84.80596822,7741,2,0
3/27,20,85.22933297,7391,2,0
3/27,21,85.34928831,7166,2,0
3/27,22,85.79770204,7746,2,0
3/27,23,86.24644204,8221,2,0
3/28,0,85.09354093,8221,3,0
3/28,1,85.44461078,8016,3,0
3/28,2,85.20127505,7686,3,0
3/28,3,85.48821458,7382,3,0
3/28,4,85.07953047,7582,3,0
3/28,5,85.38240866,7390,3,0
3/28,6,85.22500591,8462,3,0
3/28,7,84.46918605,8600,3,0
3/28,8,84.27399651,8595,3,0
3/28,9,83.63060743,9318,3,0
3/28,10,83.90885668,9315,3,0
3/28,11,84.2357655,9484,3,0
3/28,12,84.36545925,9276,3,0
3/28,13,84,9385,3,0
3/28,14,83.494414,9488,3,0
3/28,15,83.5469778,9728,3,0
3/28,16,84.26070965,9244,3,0
3/28,17,84.58739222,8582,3,0
3/28,18,85.09361647,7723,3,0
3/28,19,85.11278195,7714,3,0
3/28,20,85.54779062,7355,3,0
3/28,21,85.64100056,7156,3,0
3/28,22,86.08038961,7700,3,0
3/28,23,86.49079605,8203,3,0
3/29,0,85.13262567,8196,4,0
3/29,1,85.48062984,8002,4,0
3/29,2,85.30419443,7653,4,0
3/29,3,85.51630435,7360,4,0
3/29,4,85.18676373,7555,4,0
3/29,5,85.45599022,7362,4,0
3/29,6,85.25595168,8443,4,0
3/29,7,84.53944911,8568,4,0
3/29,8,84.29593382,8583,4,0
3/29,9,83.6817202,9278,4,0
3/29,10,83.97144089,9279,4,0
3/29,11,84.28640931,9455,4,0
3/29,12,84.39045764,9243,4,0
3/29,13,84.03753609,9351,4,0
3/29,14,83.51251981,9465,4,0
3/29,15,83.59234815,9697,4,0
3/29,16,84.28579176,9220,4,0
3/29,17,84.68022916,8553,4,0
3/29,18,85.15524876,7678,4,0
3/29,19,85.17649356,7683,4,0
3/29,20,85.60234876,7323,4,0
3/29,21,85.73024561,7125,4,0
3/29,22,86.17912976,7676,4,0
3/29,23,86.5860169,8167,4,0
3/30,0,85.32057593,8126,5,1
3/30,1,85.67947422,7912,5,1
3/30,2,85.49795541,7581,5,1
3/30,3,85.74556457,7271,5,1
3/30,4,85.38171827,7461,5,1
3/30,5,85.65252608,7284,5,1
3/30,6,85.45631648,8367,5,1
3/30,7,84.69860915,8484,5,1
3/30,8,84.42894087,8507,5,1
3/30,9,83.80767979,9219,5,1
3/30,10,84.04475192,9251,5,1
3/30,11,84.41754274,9417,5,1
3/30,12,84.54416884,9192,5,1
3/30,13,84.18667958,9294,5,1
3/30,14,83.69418406,9388,5,1
3/30,15,83.74726989,9615,5,1
3/30,16,84.46562295,9134,5,1
3/30,17,84.83297897,8466,5,1
3/30,18,85.36545287,7607,5,1
3/30,19,85.36459154,7614,5,1
3/30,20,85.8214335,7241,5,1
3/30,21,85.92524823,7050,5,1
3/30,22,86.36734694,7595,5,1
3/30,23,86.7646768,8091,5,1
3/31,0,85.41563079,7562,6,1
3/31,1,85.78986688,7362,6,1
3/31,2,85.59666382,7014,6,1
3/31,3,85.83472429,6710,6,1
3/31,4,85.4646069,6894,6,1
3/31,5,85.77810871,6715,6,1
3/31,6,85.55669443,7805,6,1
3/31,7,84.72814311,7938,6,1
3/31,8,84.48009044,7961,6,1
3/31,9,83.8140959,8655,6,1
3/31,10,84.08422506,8691,6,1
3/31,11,84.44022107,8866,6,1
3/31,12,84.56856845,8641,6,1
3/31,13,84.16708571,8750,6,1
3/31,14,83.65163842,8850,6,1
3/31,15,83.72739303,9068,6,1
3/31,16,84.45327592,8593,6,1
3/31,17,84.89706255,7898,6,1
3/31,18,85.46919364,7044,6,1
3/31,19,85.49133276,7038,6,1
3/31,20,85.98008386,6678,6,1
3/31,21,86.09839357,6474,6,1
3/31,22,86.56972451,7042,6,1
3/31,23,86.98937865,7532,6,1
4/1,0,85.08648649,8325,0,0
4/1,1,85.45713934,8131,0,0
4/1,2,85.20051414,7780,0,0
4/1,3,85.4579714,7483,0,0
4/1,4,85.14413829,7694,0,0
4/1,5,85.35198508,7506,0,0
4/1,6,85.19620621,8593,0,0
4/1,7,84.48863375,8710,0,0
4/1,8,84.23806244,8712,0,0
4/1,9,83.71155885,9430,0,0
4/1,10,83.85709736,9419,0,0
4/1,11,84.15831852,9563,0,0
4/1,12,84.31151748,9351,0,0
4/1,13,83.9681401,9479,0,0
4/1,14,83.48378012,9587,0,0
4/1,15,83.56854757,9818,0,0
4/1,16,84.25668564,9311,0,0
4/1,17,84.58148661,8664,0,0
4/1,18,85.09180664,7799,0,0
4/1,19,85.10430868,7775,0,0
4/1,20,85.53718674,7422,0,0
4/1,21,85.60490949,7292,0,0
4/1,22,86.09813204,7816,0,0
4/1,23,86.49290354,8314,0,0
4/2,0,84.98190907,8402,1,0
4/2,1,85.30082785,8214,1,0
4/2,2,85.06439298,7858,1,0
4/2,3,85.32668164,7567,1,0
4/2,4,84.97940003,7767,1,0
4/2,5,85.26459298,7555,1,0
4/2,6,85.08703682,8663,1,0
4/2,7,84.38490352,8810,1,0
4/2,8,84.16949345,8785,1,0
4/2,9,83.61596718,9507,1,0
4/2,10,83.80274262,9480,1,0
4/2,11,84.09448655,9631,1,0
4/2,12,84.21128553,9428,1,0
4/2,13,83.8892269,9533,1,0
4/2,14,83.40791113,9632,1,0
4/2,15,83.47542973,9890,1,0
4/2,16,84.1490313,9394,1,0
4/2,17,84.45600367,8728,1,0
4/2,18,84.98970383,7867,1,0
4/2,19,85.00318107,7859,1,0
4/2,20,85.39680426,7510,1,0
4/2,21,85.46123557,7365,1,0
4/2,22,85.96488996,7861,1,0
4/2,23,86.35495818,8370,1,0
4/3,0,85.08580661,8356,2,0
4/3,1,85.42390506,8174,2,0
4/3,2,85.19045792,7818,2,0
4/3,3,85.46499602,7542,2,0
4/3,4,85.14098743,7717,2,0
4/3,5,85.38054744,7526,2,0
4/3,6,85.22638229,8627,2,0
4/3,7,84.51142074,8756,2,0
4/3,8,84.26153142,8737,2,0
4/3,9,83.72699387,9454,2,0
4/3,10,83.89996821,9437,2,0
4/3,11,84.19046128,9582,2,0
4/3,12,84.31829333,9375,2,0
4/3,13,83.97803468,9515,2,0
4/3,14,83.53207665,9602,2,0
4/3,15,83.54787018,9860,2,0
4/3,16,84.23531929,9349,2,0
4/3,17,84.5654673,8699,2,0
4/3,18,85.07599949,7829,2,0
4/3,19,85.11282903,7826,2,0
4/3,20,85.5202196,7468,2,0
4/3,21,85.59468303,7335,2,0
4/3,22,86.08387508,7845,2,0
4/3,23,86.48035928,8350,2,0
4/4,0,84.95273195,8547,3,0
4/4,1,85.3455979,8371,3,0
4/4,2,85.02451532,7995,3,0
4/4,3,85.27526268,7709,3,0
4/4,4,84.93067306,7919,3,0
4/4,5,85.21450818,7706,3,0
4/4,6,85.0678872,8794,3,0
4/4,7,84.39250869,8917,3,0
4/4,8,84.1205157,8920,3,0
4/4,9,83.60627467,9626,3,0
4/4,10,83.8159292,9605,3,0
4/4,11,84.08278554,9736,3,0
4/4,12,84.18976345,9554,3,0
4/4,13,83.87979725,9667,3,0
4/4,14,83.41169842,9762,3,0
4/4,15,83.45873301,10008,3,0
4/4,16,84.14874816,9506,3,0
4/4,17,84.45554051,8862,3,0
4/4,18,84.93934099,8012,3,0
4/4,19,84.95494821,8013,3,0
4/4,20,85.35479649,7641,3,0
4/4,21,85.44745265,7498,3,0
4/4,22,85.94908502,8033,3,0
4/4,23,86.3183846,8518,3,0
4/5,0,84.52567904,8431,4,0
4/5,1,84.88468534,8247,4,0
4/5,2,84.63217954,7887,4,0
4/5,3,84.84003152,7614,4,0
4/5,4,84.52219522,7817,4,0
4/5,5,84.79855168,7595,4,0
4/5,6,84.70690649,8673,4,0
4/5,7,84.02617564,8825,4,0
4/5,8,83.7611313,8804,4,0
4/5,9,83.30994214,9505,4,0
4/5,10,83.47831122,9498,4,0
4/5,11,83.73702708,9674,4,0
4/5,12,83.83595981,9455,4,0
4/5,13,83.55818334,9556,4,0
4/5,14,83.09445883,9655,4,0
4/5,15,83.16186253,9922,4,0
4/5,16,83.79533844,9396,4,0
4/5,17,84.06121517,8756,4,0
4/5,18,84.5356284,7901,4,0
4/5,19,84.54871405,7893,4,0
4/5,20,84.91302042,7542,4,0
4/5,21,84.98973528,7404,4,0
4/5,22,85.53028962,7907,4,0
4/5,23,85.93459389,8409,4,0
4/6,0,84.8212607,8297,5,1
4/6,1,85.17088529,8099,5,1
4/6,2,84.87256546,7753,5,1
4/6,3,85.13176219,7468,5,1
4/6,4,84.78506257,7672,5,1
4/6,5,85.0473959,7469,5,1
4/6,6,84.90999532,8544,5,1
4/6,7,84.18549592,8701,5,1
4/6,8,83.92185522,8689,5,1
4/6,9,83.43196085,9399,5,1
4/6,10,83.62215122,9390,5,1
4/6,11,83.94490097,9492,5,1
4/6,12,84.03846154,9334,5,1
4/6,13,83.70916799,9435,5,1
4/6,14,83.20649676,9574,5,1
4/6,15,83.33060473,9773,5,1
4/6,16,83.97341513,9291,5,1
4/6,17,84.2667052,8650,5,1
4/6,18,84.7511592,7764,5,1
4/6,19,84.80036041,7769,5,1
4/6,20,85.18757596,7405,5,1
4/6,21,85.26212121,7260,5,1
4/6,22,85.82697005,7779,5,1
4/6,23,86.23184729,8277,5,1
4/7,0,85.17075879,8105,6,1
4/7,1,85.53753149,7940,6,1
4/7,2,85.27730759,7562,6,1
4/7,3,85.56302405,7275,6,1
4/7,4,85.18871699,7498,6,1
4/7,5,85.45243651,7285,6,1
4/7,6,85.23825983,8390,6,1
4/7,7,84.55016447,8512,6,1
4/7,8,84.26301563,8509,6,1
4/7,9,83.72439236,9216,6,1
4/7,10,83.8944571,9219,6,1
4/7,11,84.19795003,9366,6,1
